Question,Answer
What is cryptography?,Cryptography refers to methods for encrypting and decrypting information.
What is cryptanalysis?,Cryptanalysis is the science of methods for decrypting encrypted data.
What was the Enigma machine used for?,The Enigma machine was a legendary cipher machine used by the German military during World War II.
"How many rotors did the Enigma machine use, and how many letters of the alphabet did it encrypt?",The Enigma machine used 3 rotors with 26 letters of the alphabet.
What innovative feature did the Enigma machine have regarding encryption?,"The position of the rotors changed with each input, meaning the same letter input would produce a different encrypted letter for each instance."
"Who successfully cracked the Enigma machine's code, and where did this occur?",Alan Turing successfully cracked the Enigma code at Bletchley Park in 1940.
What does the set M represent in a cryptographic system?,"The set M represents the plaintexts, where m belongs to M* and is defined over an alphabet M, such as M={0,1}."
What is the role of the set C in a cryptographic system?,"The set C represents the ciphertexts, where c belongs to C* and is defined over an alphabet C, such as C={0,1}."
What does the set K include in a cryptographic system?,"The set K includes the keys, with elements e and d belonging to K."
What is the function of E in a cryptographic system?,"E is the family of encryption algorithms, defined as E = {Ee | Ee : M* → C*}, which transforms plaintexts into ciphertexts."
What is the function of D in a cryptographic system?,"D is the family of decryption algorithms, defined as D = {Dd | Dd : C* → M*}, which transforms ciphertexts back into plaintexts."
"What is the relationship between plaintext, ciphertext, and keys in a cryptographic system?","If m ∈ M*, then E encrypts m to c by c = Ee(m), and there exists a key d ∈ K such that the decryption of c yields m as m = Dd(c)."
What is a cryptographic system comprised of?,"A cryptographic system is comprised of the sets of plaintexts (M), ciphertexts (C), keys (K), and the families of encryption (E) and decryption (D) algorithms."
Can you name procedures for E (encryption)?,"Yes, common procedures for E (encryption) include symmetric key algorithms (like AES), asymmetric key algorithms (like RSA), and hash functions."
What are the two classes of cryptographic procedures mentioned?,Symmetric and asymmetric procedures.
What is a characteristic of symmetric procedures in terms of encryption and decryption?,"In symmetric procedures, the encryption (E) and decryption (D) algorithms are typically simple and quick to compute, and both use the same secret key."
What is meant by 'Secret-Key' in the context of symmetric cryptographic procedures?,"'Secret-Key' means that both the encryption and decryption processes use the same secret key, which must be kept confidential."
"In the example given, how does Alice send a message to Bob using symmetric encryption?","Alice encrypts her message m using the encryption function Ee with the secret key e to produce ciphertext c, which she then sends to Bob. Bob uses the same key e to decrypt the ciphertext back into the original message m using De."
What are the two main tasks Alice performs when storing data securely using symmetric encryption?,"1) Encrypting the data m with e to produce ciphertext c (Ee(m) = c), and 2) Decrypting the ciphertext c back to data m using the same secret key e (De(c) = m)."
What is the formula for encryption using the Caesar cipher?,"Ee(m) = (m + e) mod 26, where 'm' is the message and 'e' is the shift."
What is the formula for decryption using the Caesar cipher?,"De(c) = (c - e) mod 26, where 'c' is the ciphertext and 'e' is the shift."
"In the Caesar cipher, what is the range of values for the key 'K'?","K = {0, 1, ..., 25}, representing the possible shift values."
What does the Caesar cipher map letters A to Z onto in the example provided?,"The letters A to Z are mapped onto the residue class ring over {0, 1, ..., 25}."
Why is breaking the Caesar cipher considered difficult?,"It is difficult to break because there are many possible keys (j, n), specifically 26 different shift values."
"In the example where m=ITSICHERHEIT and e=3, how is the encryption result E3(8 19 18 8 2 7 4 17 7 4 8 19) calculated?",The encryption is calculated by adding the shift of 3 to each number in the sequence and applying mod 26.
What is the resulting ciphertext when m=ITSICHERHEIT and e=3 is encrypted?,The resulting ciphertext is LWVLFK.
What is the basis of the encryption and decryption methods in asymmetric cryptography?,They are based on number theory.
What type of key pair does each entity have in asymmetric cryptography?,"Each entity possesses its own unique key pair, consisting of a public key (e) and a private key (d)."
What is the role of the public key in asymmetric cryptography?,The public key (e) is public information that can be shared with anyone.
What does the private key in asymmetric cryptography signify?,"The private key (d), for example dB for Bob, is known only to the individual and must be kept secret."
How is the encryption process represented in asymmetric cryptography?,"The encryption process is represented as Ee(m) = c, where m is the plaintext message and c is the ciphertext."
How is the decryption process represented in asymmetric cryptography?,"The decryption process is represented as Dd(c) = m, where c is the ciphertext and m is the original plaintext message."
Why is the method referred to as asymmetric cryptography?,It is called asymmetric because the public key (e) and the private key (d) are not equal.
What does the term Public-Key Cryptography indicate about the keys used?,"The term indicates that the encryption key (e) is public, meaning it is accessible to everyone."
What is required for Alice to encrypt her message m for Bob using asymmetric encryption?,Alice needs Bob's public key eB to encrypt the message m.
"If Alice encrypts the message m using her private key dA, what is the resulting ciphertext c'?","c' = EdA(m), where EdA is the encryption function using Alice's private key."
What is the correct statement regarding Bob's ability to decrypt c' when Alice encrypts m with her private key dA?,"(a) is false, (b) is true, (c) is false, (d) is true."
Who can decrypt the ciphertext c' when it is encrypted with Alice's private key dA?,"Only Alice can decrypt c', thus making it not confidential for Bob."
